KEY,Korean,English,Myanmar,Thailand,India
T_USERINFOTITLE,알림,Notice,အသိပေးခြင်း,แจ้งเตือน,
T_GAMESOUND,효과음,Sound Effects,အက်ပ်အသံ,เสียงเกม,Efek Suara
T_GAMEVOICE,보이스,Voice,စကားသံ,เสียงพากย์,Suara
T_DIS_TITLE,알림,Disconnect,အသိပေးခြင်း,ตัดการเชื่อมต่อ,Koneksi terputus.
T_DIS_MESSAGE,서버에 연결할 수 없습니다. 다시 시도해 주세요,Server connection failed. Please try again.,ဆာဗာ ဖွင့်လို့မရပါဘူး။ နောက်တစ်ကြိမ်ပြန်ဝင်ပါ။,ไม่สามารถเชื่อมต่อเซิฟเวอร์ได้<br>กรุณาลองใหม่อีกครั้งค่ะ,Koneksi dengan server terputus. Silahkan hubungkan kembali.
T_GUIDECHECKBOX,다시 보지 않기,Don't show again,နောက်တခါမကြည့်ပါ,,Jangan tampilkan lagi
T_SITE_VACATE_TITLE,대기 중,,စောင့်ဆိုင်းနေသည်,ประกาศ,
T_SITE_VACATE_MSG,오랜 대기 상태로 인해 오토 모드가 시작됩니다. 오토모드를 계속 사용하시겠습니까?,,စောင့်ဆိုင်းချိန်ကြာသွားတဲ့အတွက် အော်တို စနစ် စတင်ပါပြီ။ အော်တိုစနစ် ကို အသုံးပြုမှာလား?,,
T_SITE_VACATE_YES,예 (동의),yes,Yes,,
T_SITE_VACATE_NO,아니요,no,No,,
T_OK,확인,OK,OK,ยืนยัน,YA
T_YES,예,YES,Yes,ใช่,YA
T_NO,아니요,NO,No,ไม่ใช่,TIDAK
T_NICKNAME,닉네임,Nickname,Nickname,ชื่อเล่น,
T_MAN,남,Male,ကျား,เสียงผู้ชาย,
T_WOMAN,여,Female,မ,เสียงผู้หญิง,
T_TITLE_3G_PHOTO_DOWNLOAD,데이터 이용 사진 다운로드,Download photo on 3G,ဒေတာအသုံးပြုနည်းလမ်းညွန်,ใช้ข้อมูลดาวน์โหลดภาพ,
T_VERSION,버젼,Version,Version,เวอร์ชั่น,
T_RECEIVE_MESSAGE,메시지,Message,မက်ဆေ့,ข้อความที่ได้รับ,
T_RECEIVE_INVITEFRIEND,친구 신청,Friend Reque,သူငယ်ချင်းဖွဲ့မယ်,,
T_RECEIVE_PUSH,푸시 알림,Push Notifications,အသိပေးခြင်း,แจ้งเตือน,
T_FULLSCREEN,전체화면,,,เต็มจอ,
T_ASSETDOWNLOAD_TITLE,게임 다운로드 (게임 어셋 다운 팝업 타이틀),Game Download,Game Download,มีเวอร์ชั่นใหม่ค่ะ!,
T_CUSTOMER_CENTER,홈 페이지,Customer Service Center,FB fanpage,ศูนย์ให้บริการ,
T_CUSTOMER_CENTER2,팬 페이지,Official Fanpage,FB fanpage,,
T_ON,켜기,ON,ဖွင့်,เปิด,
T_OFF,끄기,OFF,ပိတ်,ปิด,
T_OTHER_GAMES,다른 게임,Other Games,တခြားဂိမ်း,เกมอื่นๆ,
T_NEW_PASSWORD,새로운 비밀번호,New Password,လှို့ဝှက်နံပါတ် အသစ်,รหัสผ่านใหม่,
T_SAFE_REMAIN_COUNT,입금 가능 횟수,Count,ဒီနေ့ရနိင်သည့် အကြိမ်,จำนวนที่ฝากเงิน,
T_SAFE_TITLE,금고,Safe Box,မီးခံသေတ္တာ,โกลด์ในตู้เซฟ,
T_SAFE_INFO,정보,Information,အချက်အလက်,,
T_MY_GOLD,보유 골드,Playing Gold,ကိုယ်ပိုင် Gold,โกลด์ของฉัน,
T_SAFE_SAFE_MONEY,금고 보유 골드,Depository Gold,မီးခံသေတ္တာရှိ Gold,โกลด์ในตู้เซฟ,
T_DATE,날짜,Day,နေ့စွဲ,วันที่,
T_DEPOSIT,입금,Deposit,ထည့်ငွေ,เงินฝาก,
T_WITHDRAWAL,출금,Withdraw,ထုတ်ငွေ,เงินถอน,
T_BALANCE,잔금,Gold remaining,လက်ကျန်,ยอดคงเหลือ,
T_DEPOSITALL,모두 입금,Deposit All,အကုန်ထည့်မယ်,,
T_WITHDRAWALALL,모두 출금,Full Withdraw,အကုန်ထုတ်မယ်,,
T_GIFTBOX,선물 박스,Gift Box,လက်ဆောင်ပုံး,กล่องของขวัญทองคำ,
T_SEND_GOLD,보낼 골드,Gift Amount,ငွေပို့မယ်,ส่งโกลด์,
T_DOMINO,도미노,Gamename5,Domino,,
T_TIENLEN1VS1,빅투,Gamename6,Big2,,
T_PLUSGOLD,누적된 최고 획득 골드,Best,Best,,
T_NOHISTORYGOLD,아직 기록이 없습니다,,,ยังไม่มีประวัติค่ะ,
T_BESTCARD,최고 달성 카드,The best card of this month,The best card of this month,ไพ่ดีที่สุดของเดือนนี้,
T_BESTGOLD,최고 획득 골드,Today,Today,โกลด์ที่ได้รับมากที่สุด,
T_SET_SAFEBOX_PASSWORD,금고 비밀번호,Safe Box Password,မီးခံသေတ္တာ ပက်စ်၀က်,รหัสผ่านตู้เซฟ,
T_MESSAGE,메시지,Message,မက်ဆေ့,ข้อความ,
T_FIND_TITLE,플레이어 찾기,Search Player,ကစားသမား ရှာရန်,ค้นหา,
T_FIND,찾기,Find,ရှာရန်,,
T_PLAYER,유저,Players,ပလေယာ,ผู้เล่น,
T_OPTION,옵션,Setting,ဆက်တင်,ตั้งค่า,
T_OPTION_NOTICE,이벤트 알림,Event,Event,,
T_OPTION_GAME,게임,Game,ဂိမ်း,,
T_OPTION_INFO,정보,Information,အချက်အလက်,,
T_OPTION_QA,문의,Q / A,Q / A,,
T_ANTI,엔티,Anti,စထိုးငွေ,เดิมพัน,
T_TITLE_MAMEROOM,방 만들기,Create Room,အခန်းထောင်ရန်,สร้างห้อง,
T_WIN,승리,Win,နိုင်,ชนะ,
T_LOSE,패,Lose,ရှုံး,แพ้,
T_MONTH,월,Month,,ชนะเดือนนี้,
T_BEST,베스트,Best,,ชนะมากที่สุด,
T_TITLE_APP_REVIEW,리뷰,Review,ထင်မြင်ချက်,การรีวิว,
T_SOUND,사운드 (배경음),Sound (BGM),တီးလုံး,เสียงดนตรี,
T_SHOP,상점,Shop,စတိုး,,
T_RETRY,4,Try again,ရရှိတဲ့ Gold,รีเฟรช,
T_INAPP,인앱,Appstore,Appstore,,
T_PURCHASE,결제,Buy Cash,Cash ဝယ်မယ်,,
T_PURCHASE_GOLD,골드 충전,Charge Gold,Gold ၀ယ်မယ်,,
T_SUCCESSPURCHASE,알림,Notice,အသိပေးခြင်း,,
T_SEND,보내기,Send,ပို့မည်,ส่ง,Kirim
T_CANCEL,취소,Cancel,ပယ်ဖျက်မယ်,,
T_QUEST_DAY,일일 퀘스트,Daily,DAY,วัน,
T_QUEST_5TH,5일 퀘스트,Daily-5,DAY-5,5ครั้ง,
T_QUEST_25TH,25일 퀘스트,Daily-25,DAY-25,25ครั้ง,
T_QUEST_SPECIAL,특별한,Special,စပါယ်ရှယ်,พิเศษ,
T_SAVEMONEY_TITLE,적립금,Gold Savings Box,စုငွေ,ยอดสะสม,
T_SAVEMONEY_MSG1,게임을 하시면 자동으로 적립금이 모입니다,"When you play game, it will be accumulated itself",ဂိမ်းကစားမယ်ဆိုရင် စုငွေ အော်တိုစုပါတယ်။,เล่นเกมเพื่อเก็บยอดสะสม,
T_SAVEMONEY_MSG2,@gold 를 모두 적립하면 구매할 수 있습니다.,You can purchase it if it reach over @gold,@gold အားလုံး စုပြီးရင် Gold စပြီး၀ယ်နိင်ပါတယ်။,สามารถซื้อโกลด์ได้เมื่อสะสมยอดครบ @gold,
T_SAVEMONEY_MSG3,상점가보다 저렴하게 구매해 보세요,Get it cheaper price than shop,စတိုးဆိုင်ထက် သက်သာတဲ့စျေးနဲ့ Gold ၀ယ်နိင်ပါတယ်။,ซื้อโกลด์ได้ถูกกว่าร้านค้า,
T_USERINFO,유저 정보 팝업 타이틀,Information,ပလေယာ အချက်အလက်,ประวัติผู้เล่น,Informasi Pemain
T_USERINFO_GOLDRESET,다시 선택,Reset,Reset,,
T_USERINFO_GOLDSEND,보내기,Send,ပို့မယ်,,
T_BUY,결제,Buy,၀ယ်မည်,,
T_FRIEND,친구,Friends,သူငယ်ချင်း,,
T_BLOCK_LIST,차단,Blocked List,Block List,,
T_ROOMLIST,방 리스트,Room Information,အခန်းစာရင်း,รายชื่อห้อง,
T_MAKEROOM,방 만들기,Creat Room,အခန်းထောင်ရန်,,
T_PLAY,빠른입장,Quick Play,အမြန်ကစားမယ်,,
T_FACEBOOKINVITE,페이스북 친구를 초대합니다,Invite Facebook Friends,FB သူငယ်ချင်းဖိတ်မည်,,
T_CHANNEL_FREE,프리,Street,အခမဲ့,,
T_CHANNEL_AMA,아마추어,Advance,အဆင့်မြင့်,,
T_CHANNEL_PRO,프로,Master,Pro,,
T_CHANNEL_VIP,VIP,Royal,VIP,,
T_GIFT_ACCEPT,받기,Receive,လက်ခံမည်,,
T_GIFT_ACCEPTALL,모두 받기,Accept All,အားလုံးလက်ခံမည်,,
M_EXPLANATION_EMAIL,이메일은 금고 비밀번호 찾기에 사용되오니 정확하게 입력해주세요.,Please enter valid e-mail.The e-mail will be used in case of resetting password,E-mail အသုံးပြုပြီး ပက်စ်၀က်ရှာလျှင် E-mail လိပ်စာ အပြည်စုံထည့်ပေးပါ,กรุณากรอกอีเมล์ที่ถูกต้อง อีเมล์จะนำมาใช้ค้นหารหัสผ่านตู้เซฟของคุณค่ะ,
M_SET_NICKNAME,닉네임 설정,Nickname Set-Up,Nickname,ตั้งค่าชื่อเล่น,
M_PLEASE_ENTER_NICKNAME,닉네임을 입력 하세요.,Please enter your friend's nickname.,Nickname ဖြင့်၀င်ပါ,กรุณาใส่ชื่อเล่นของคุณ,
M_3G_DOWNLOAD_WARNING,데이터를 이용하여 친구들 사진을 불러오겠습니까? '아니오'를 누를 경우 WIfi에 연결되었을 때만 친구들 사진을 볼 수 있습니다.,,ပလေယာဓါတ်ပုံ ကို ဒေတာ ဖြင့်ကြည့်မှာလား? 'No' ကိုရွှေးပါက WIfi ဖြင့်သုံးတဲ့အချိန်ပဲ ကြည့်လို့ရနိင်ပါတယ်။,ต้องการใช้ข้อมูลมือถือเพื่อดาวน์โหลดภาพหรือไม่? <br>หากเลือก 'ไม่' จะดาวน์โหลดภาพได้เฉพาะการเชื่อมต่อ WIFI เท่านั้นค่ะ,
M_3G_DOWNLOAD_GUIDE,데이터 사용하여 사진 보기 기능은 '설정' 메뉴에서 언제든 변경 가능합니다.,,"ဒေတာ နဲ့ ဓါတ်ပုံ ကြည့်ချင်လျှင် ""ဆက်တင်"" ထဲတွင် အချိန်မရွှေးပြောင်းလို့ရပါတယ်။",สามารถเปลี่ยนการตั้งค่าดาวน์โหลดภาพด้วยข้อมูลมือถือได้ที่ปุ่ม 'ตั้งค่า' ค่ะ,
M_MAX_MESSAGE_COUNT_EXPLANATION,받은 메시지는 총 @count2 건 저장 됩니다.(@count1 /@count2),You can store up to @count2 messages (@count1 /@count2).,လက်ခံရရှိသမျှ မက်ဆေ့တွေထဲမှ အနည်းဆုံး @count2 ခု ကို သိမ်းထားလို့ရပါတယ်။ (@count1 /@count2),ข้อความที่ได้รับจะถูกเก็บได้ทั้งหมด @count2 ข้อความ (@count1 /@count2),
M_SEND_PW_TO_EMAIL,새로운 비밀번호를 이메일로 전송 하였습니다.,The new password has been sent to your e-mail.,လျှိုဝှက်နံပါတ် အသစ်ကို E-mail ထဲကို ပို့လိုက်ပါပြီ။,รหัสผ่านใหม่ได้ถูกส่งไปอีเมล์ของท่านแล้ว กรุณาเข้าอีเมล์เพื่อตรวจสอบรหัส จากนั้นเข้าสู่ระบบ และกดปุ่มรหัสผ่าน เพื่อทำการเปลี่ยนรหัสผ่านใหม่ของคุณ,
M_SERVER_ERROR_TITLE,,,,,
M_CAN_NOT_JOIN_SERVER,서버 연결에 실패하였습니다. 재시도 하시겠습니까?,Couldn't connect to the server. Please check your network connection.,ဆာဗာချိတ်ဆက်မှု မအောင်မြင်ပါ။<br>ပြန်လည်လုပ်ဆောင်မလား?,ไม่สามารถเชื่อมต่อกับเซิร์ฟเวอร์ได้ ต้องการเชื่อมใหม่อีกครั้งไหมคะ?,
M_RETRY_JOIN_SERVER,서버 연결에 실패하였습니다. 재시도 하시겠습니까?,Couldn't connect to the server. Please try again.,ဆာဗာချိတ်ဆက်မှု မအောင်မြင်ပါ။<br>ပြန်လည်လုပ်ဆောင်မလား?,ไม่สามารถเชื่อมต่อเซิฟเวอร์ได้ โปรดลองใหม่อีกครั้งค่ะ,
M_CHECKING_SERVER,서버점검 중입니다.,Game is under maintenance. ,ဆာဗာစစ်ဆေးဆဲဖြစ်ပါသည်။,กำลังตรวจสอบเซิร์ฟเวอร์ กรุณาเช็คที่ประกาศค่ะ,
M_WANT_QUIT,게임을 종료 하시겠습니까?,Are you sure you want to quit the game?,ဂိမ်းကို ပိတ်မှာလား?,คุณต้องการออกจากเกมไหมคะ?,
M_WANT_RETRY,다시 시도 하시겠습니까?,Would you like to try again?,နောက်တစ်ကြိမ် ပြန်ဝင်မှာလား?,คุณต้องการที่จะลองใหม่อีกครั้งไหมคะ?,
M_LOGIN_ERROR_1,로그인 할 수 없습니다. 아이디 또는 비밀번호를 확인해주세요.,Failed to login. Please check your account or password.,အကောင့်ဝင်လို့မရပါ။ အကောင့် (သို့) လျှိုဝှက်နံပါတ် ကို ပြန်စစ်ဆေးပါ။,ไม่สามารถเข้าสู่ระบบได้ค่ะ กรุณาตรวจสอบชื่อผู้ใช้ หรือรหัสผ่านด้วยค่ะ,
M_LOGIN_ERROR_2,로그인 할 수 없습니다. 아이디 또는 비밀번호를 확인해주세요.,Failed to login. Please check your account or password.,အကောင့်ဝင်လို့မရပါ။ အကောင့် (သို့) လျှိုဝှက်နံပါတ် ကို ပြန်စစ်ဆေးပါ။,ไม่สามารถเข้าสู่ระบบได้ค่ะ กรุณาตรวจสอบชื่อผู้ใช้ หรือรหัสผ่านด้วยค่ะ,
M_LOGIN_ERROR_120_140,계정은 관리자에 의하여 블록 되었습니다. 자세한 내용은 펜페이지로 문의 바랍니다,Account blocked by Admin. Please contact CS (www.indoplay-cs.com),အကောင့်ကို အက်ဒမင်က လော့ချထားပါတယ်။<br>အသေးစိတ်သိလိုသည်များကို fanpageသို့ ဆက်သွယ်မေးမြန်းပါ။,บัญชีถูกบล็อคโดยผู้ดูแลระบบ,
M_LOGIN_ERROR_DEFAULT,로그인에 실패하였습니다.,Login failed.,အကောင့် ဝင်မရပါ။,ไม่สามารถเข้าสู่ระบบได้ กรุณาลองเข้าสู่ระบบอีกครั้งค่ะ,
M_LOGIN_ERROR_120,이 계정은 시스템관리자에 의해 차단되었습니다. 펜페이지를 통해 운영자에게 연락하세요,,,บัญชีถูกบล็อคโดยผู้ดูแลระบบ กรุณาติดต่อแอดมินผ่านแฟนเพจค่ะ,
M_LOGIN_ERROR_140,비밀번호를 여러 번 잘 못 입력하였기 때문에 IP가 임시로 차단됩니다. 30분 후에 다시 시도하세요,,,IP ถูกระงับชั่วคราวเนื่องจากใส่รหัสผิดเกินจำนวนครั้ง กรุณาลองอีกครั้งในอีก 30 นาที,
M_LOGIN_ERROR_150,이 IP는 시스템관리자에 의해 차단되었습니다. 펜페이지를 통해 운영자에게 연락하세요,,,IP ถูกบล็อคโดยผู้ดูแลระบบ กรุณาติดต่อแอดมินผ่านแฟนเพจค่ะ,
M_LOGIN_ERROR_160,이 기기는 시스템관리자에 의해 차단되었습니다. 펜페이지를 통해 운영자에게 연락하세요,,,อุปกรณ์ดังกล่าวถูกบล็อคโดยผู้ดูแลระบบ กรุณาติดต่อแอดมินผ่านแฟนเพจค่ะ,
M_LOGIN_ERROR_ID,계정에 빈 공간이 있습니다. 다시 입력해 주세요,There is space in the input account. Please re-enter,အကောင့်မှာ space ခြားလို့မရပါ။ နောက်တစ်ကြိမ်ပြန်ဝင်ပါ။,,
M_LOGIN_ERROR_PW,비밀번호에 빈 공간이 있습니다. 다시 입력해 주세요,There is space in the input account. Please re-enter,လျှိုဝှက်နံပါတ်ရိုက်လျှင် space ခြားလို့မရပါ။ နောက်တစ်ကြိမ်ပြန်ဝင်ပါ။,,
M_REGIST_ERROR_EMAIL,입력한 이메일 형식이 잘못되었습니다. 확인하시고 다시 입력해주세요.,Thise-mail is invalid. Please check again,မေးလ်မှားနေပါတယ်။ နောက်တစ်ကြိမ်ပြန်ဝင်ပါ။,รูปแบบอีเมล์ที่คุณกรอกไม่ถูกต้อง กรุณาตรวจสอบและกรอกอีเมล์อีกครั้งค่ะ,
M_PW_CHANGE_SUCCESS,비밀번호를 변경 하였습니다.,Password was successfully changed.,လျှိုဝှက်နံပါတ်ပြောင်းပြီးပါပြီ။,เปลี่ยนรหัสผ่านเรียบร้อยแล้วค่ะ,
M_PW_CHANGE_FAILED,비밀번호를 변경 할 수 없습니다.,Password maximum 6 numbers. Please check again.,လျှိုဝှက်နံပါတ် ပြောင်း၍မရပါ။,การเปลี่ยนรหัสผ่านได้ล้มเหลวค่ะ,
M_ASSETBUNDLE_DOWNLOAD_COMPLETE,다운로드를 완료 하였습니다. 게임 대기실로 이동 하시겠습니까?,Would you like to download?,ဒေါင်းပြီးပါပြီ။,ดาวน์โหลดเรียบร้อยแล้ว ต้องการไปที่ล็อบบี้เลยไหมคะ?,
M_ASSETBUNDLE_QUESTION_DOWNLOAD,다운로드 하시겠습니까?,Downloading time is depending on your internet speed. Please wait.,ဒေါင်းမှာလား?,ต้องการที่จะดาวน์โหลดไหมคะ?,
M_ASSETBUNDLE_DOWNLOAD_NOTICE,다운로드 하는데 몇 분이 걸릴 수 있습니다. 인터넷 속도에 따라 다운로드 시간이 더 지연될 수 있습니다.,Are you sure to cancel the ongoing download?,ဒေါင်းလေ့ာ လုပ်တဲ့အချိန် ကြာနိုင်ပါတယ်။ အင်တာနက် မြန်နှုန်းပေါ်မူတည်ပြီး အချိန်ပြောင်းလဲနိုင်ပါတယ်,คุณสามารถใช้เวลาไม่กี่นาทีในการดาวน์โหลด แต่อาจล่าช้าขึ้นอยู่กับความเร็วของอินเทอร์เน็ตคุณค่ะ,
M_ASSETBUNDLE_DOWNLOAD_CANCEL,다운로드를 취소 하시겠습니까?,You can have up to @count Facebook friends.,ဒေါင်းလေ့ာ မလုပ်ဘူးလား?,ต้องการที่จะยกเลิกการดาวน์โหลดไหมคะ?,
M_FACEBOOK_REWARD_NOTICE,Facebook친구는 최대 @count명 까지 사귈 수 있습니다.,You can have up to @count Facebook friends.,facebook မှာ သူငယ်ချင်း အများဆုံး @count ဦးပဲ သူငယ်ချင်း ဖြစ်ခွင့် ရှိပါတယ်,คุณสามารถมีเพื่อน Facebook ได้ถึง @count คน,
M_WANT_LOGOUT,로그아웃 하시겠습니까?,Are you sure you want to Log out?,လော့အောက်လုပ်မှာလား?,คุณต้องการที่จะออกจากระบบไหมคะ?,
M_GOLD_SEND_LIMIT_COUNT,골드 선물 가능 횟수 : (@count1 / @count2),Number of times to send gift gold (@count1/@count2),လက်ဆောင်ပေးလို့ရတဲ့ Gold အရေအတွက် (@count1 / @count2),จำนวนที่ส่งโกลด์ได้ : (@count1 / @count2) ครั้ง,
M_DO_YOU_BUY,구매 하시겠습니까?,Do you want to purchase?,ဝယ်မှာလား?,ต้องการจะซื้อโกลด์ไหมคะ?,
M_DO_YOU_BUY_LEVEL,레벨을 구매하시겠습니까?,,,ต้องการจะซื้อเลเวลไหมคะ?,
M_FACEBOOK_LOGIN_REWARD_PR,페이스북 보너스 @money골드,Facebook Bonus @money Gold,Facebook ဘောနပ်စ် @money Gold,"""@money""",
M_INPUT_FIND_FRIEND_NICKNAME,유저 닉네임을 입력 하세요.,Input user nickname.,Nickname နာမည်ရေးပါ,กรุณากรอกชื่อเพื่อนค่ะ,
M_USERINFO_COMMISSION_GOLD,수수료@count%,Fee @count%,ပို့ခ @count%,ค่าธรรมเนียม @count %,
M_LIMIT_SEND_MESSAGE_CHARACTER,메시지는 최대 250자를 입력 할 수 있습니다.,You can send up to 250 characters.,အများဆုံး မက်ဆေ့ ၂၅၀ လုံး ပို့လို့ရပါတယ်,คุณสามารถกรอกได้ถึง 225 ตัวอักษร,
M_NO_LIST_GIFT,선물받은 골드가 없습니다.,You do not have any Gold to be accepted.,လက်ဆောင်ရတဲ့ Gold မရှိပါ,ไม่มีโกลด์ที่ได้รับเป็นของขวัญค่ะ,
M_NO_LIST_ROOM,게임중인 방이 없습니다. 방을 만들어 보세요.,There is no on-going game room. Please make room.,ဂိမ်းကစားခန်းမရှိပါ။ အခန်းတည်ဆောက်ပါ,ไม่มีห้องที่กำลังเล่นเกมอยู่ กรุณาสร้างห้องเกมค่ะ,
M_NO_LIST_SAFE_INFOS,입출금한 내역이 없어요.,You do not have a deposit or withdrawal history.,အရောင်းအဝယ်စာရင်းမရှိပါ,ไม่มีประวัติฝากถอนเงินค่ะ,
M_NO_LIST_FRIENDS,마음에 맞는 친구를 사귀어 보세요~,Try to make friends with your favourite player~,စိတ်ကြိုက် သူငယ်ချင်း ကို ဖိတ်ခေါ်ပါ,ลองหาคนที่โดนใจ แล้วขอเป็นเพื่อนดูสิคะ,
M_NO_LIST_MESSAGE,받은 메시지가 없어요.,No received messages.,မက်ဆေ့မရှိပါ,ไม่มีข้อความที่ได้รับค่ะ,
M_NO_LIST_BLOCK,블럭된 친구가 없어요.,No blocked friends,ဘလော့ထားတဲ့ သူငယ်ချင်းမရှိပါ,ไม่มีรายชื่อเพื่อนที่โดนบล็อกค่ะ,
M_NO_STATUS_MESSAGE,상태 메시지가 없습니다.,No status message.,မက်ဆေ့မရှိပါ,ไม่มีสถานะข้อความ,Tidak ada status.
M_GIFT_FACEBOOK_INVITE_GUIDE,페이스 북 ID로 로그인하여 페이스북 친구를 초대 한 뒤 같이 게임을 하면 매일 보너스 골드를 얻을 수 있습니다. 이 기회를 놓치지 마세요.,FACEBOOK_INVITE_GUIDE,Facebook ID နဲ့ အကောင့်ဝင်ပြီး သူငယ်ချင်း ဖိတ်ခေါ်လျှင် ဘောနပ်စ် ရပါမယ်။ ဒီအခွင့်အရေးကို လက်လွတ်မခံပါနဲ့။,ถ้าหากล็อกอินด้วยเฟสบุค แล้วชวนเชิญเพื่อนในเฟสบุคมาเล่นเกมด้วยกัน รับไปเลยโบนัสโกลด์ทุกวัน ห้ามพลาดนะคะ!,
M_FACEBOOK_SHARE_MESSAGE,타임라인에 글을 남기시겠습니까?,FACEBOOK_SHARE_MESSAGE,Facebook Timeline မှာ ပို့စ်တင်မှာလား?,แชร์ เล่น89 บนหน้าไทม์ไลน์กันเถอะ,
M_FACEBOOK_SHARE_LOADING_MESSAGE,포스팅중입니다.,FACEBOOK_SHARE_LOADING_MESSAGE,ပို့စ် တင်နေပါတယ်။,กำลังดำเนินการโพสค่ะ,
M_FACEBOOK_SHARE_SUCCESS,포스팅에 성공했습니다.,FACEBOOK_SHARE_SUCCESS,ပို့စ် တင်ပြီးပါပြီ,การแชร์สำเร็จแล้วค่ะ,
M_FACEBOOK_SHARE_FAILED,포스팅에 실패했습니다.,FACEBOOK_SHARE_FAILED,ပို့စ် တင်ခြင်းမအောင်မြင်ပါ,การแชร์ล้มเหลว,
IAP_START_PENDING_PUR,결제 완료 후 대기중 입니다.,Validating purchase.,ငွေပေးချေမှုကို စောင့်နေပါတယ်,กำลังรอการชำระเงิน,
IAP_SUCCESS_PURCHASE,구매 성공했습니다.,Purchase Succeed,ငွေပေးချေပြီးပါပြီ,การชำระเงินสำเร็จ,
IAP_FAILED_PURCHASE,구매에 오류가 발생했습니다.,Your purchase could not be completed,ငွေပေးချေလို့မရပါ,เกิดข้อผิดพลาดในการชำระเงิน,
IAP_SUCCESS_CONFIRM_RECEIPT,구매하신 영수증을 확인 할 수 있습니다.,You can see your purchase history.,ဘောင်ချာ စစ်နိုင်ပါတယ်,สามารถตรวจสอบใบเสร็จการชำระเงินได้,
IAP_FAILED_CONFIRM_RECEIPT,구매하신 영수증을 확인 할 수 없습니다.,Failed to verify your purchase receipt,ဘောင်ချာ စစ်လို့မရပါ,ไม่สามารถตรวจสอบใบเสร็จารชำระเงินได้,
IAP_START_CONFIRM_FOR_ONSMART,MingPlay 서버에서 영수증을 확인 하였습니다.,Validating your purchase.,MingPlay မှာ ဘောင်ချာ စစ်ပြီးပါပြီ,ตรวจสอบใบเสร็จการชำระเงินด้วยเซิฟเวอร์ Len89 แล้ว,
IAP_ALREADY_CONFIRM_RECEIPT,구매에 대한 영수증 확인이 성공적으로 완료 되었습니다.,Your purchase receipt has been successfully completed.,ဘောင်ချာစစ်ပြီးပါပြီ,ตรวจสอบใบเสร็็จการชำระเงินเรียบร้อยแล้ว,
IAP_START_INAPP,결제 연결...,Connecting...,Connecting...,กำลังเชื่อมต่อ...,
IAP_ERROR_TITLE,,,,,
SILVER_BUYGOLD_RESULT_0,골드 구입을 성공 하였습니다.,Gold Purchased.,Gold ဝယ်ပြီးပါပြီ,,
